Col 1,UID,Name,Rec,DOB,Inf,Club,Based,Nat,Height,Weight,Age,Position,Transfer Value,Media Description,Rc Injury,Preferred Foot,Left Foot,Right Foot,Caps,AT Apps,AT Gls,AT Lge Apps,AT Lge Gls,Team,Yth Apps,Yth Gls,Acc,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat.1,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Vers,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Amb,Ada,Cons,Cont,Media Handling
10,2002078789,Luke Gallegos,- - -,20/1/2006 (16 years old),Ama,Sacramento United,U.S.A. (Southwest Division),USA,"5'8""",59 kg,16,ST (C),0$,Young striker,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,15,10,4,3,13,5,4,3,12,2,1,1,5,7,8,14,2,11,7,4,5,5,12,1,7,6,2,5,13,8,12,3,7,13,10,4,3,4,10,1,2,9,12,7,12,10,1,9,17,12,18,14,11,14,13,6,12,7,14,6,Level-headed
11,2002078788,Adam Greczek,- - -,4/1/2006 (16 years old),Ama,Sacramento United,U.S.A. (Southwest Division),USA,"5'7""",58 kg,16,AM (RLC),0$,Promising attacking midfielder,-,Either,Strong,Very Strong,0,-,-,-,-,,-,-,10,12,13,3,14,12,5,6,8,3,1,3,7,4,9,9,4,9,15,3,6,7,9,1,8,7,1,11,13,9,12,3,14,9,11,10,8,8,7,1,3,5,7,8,13,7,3,17,14,10,13,7,6,3,7,7,15,10,12,7,Media-friendly
12,2002078787,Ryley Hall,- - -,8/12/2005 (16 years old),Ama,Sacramento United,U.S.A. (Southwest Division),USA,"5'11""",66 kg,16,"DM, M (C)",0$,Hard working midfielder,-,Right Only,Weak,Very Strong,0,-,-,-,-,,-,-,8,18,8,4,9,19,12,6,13,2,3,3,8,5,10,10,1,7,13,7,5,7,5,1,10,7,1,6,5,7,6,3,6,16,7,6,8,8,8,3,1,15,12,9,9,12,2,15,13,11,18,11,12,6,12,10,11,6,14,5,Reserved
13,2002078786,Manesseh Caesar,- - -,4/3/2006 (16 years old),Ctr,Sacramento United,U.S.A. (Southwest Division),USA,"5'10""",67 kg,16,DM,0$,Young midfielder,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,9,11,7,2,15,10,11,8,7,2,1,1,10,5,10,7,1,4,13,10,5,7,7,2,8,8,3,6,5,10,6,2,5,11,12,6,6,9,8,1,1,17,12,10,9,17,4,10,6,3,9,15,11,6,14,10,10,5,7,17,"Outspoken, Volatile, Confrontational"
14,2002078785,Andries Koelewijn,- - -,14/7/2006 (15 years old),Ctr,Sacramento United,U.S.A. (Southwest Division),USA,"5'9""",57 kg,15,AM (R),0$,Young winger,-,Right,Weak,Very Strong,0,-,-,-,-,,-,-,14,13,7,1,7,9,5,4,8,3,4,3,3,4,10,13,4,8,13,2,9,5,14,3,4,9,3,5,13,5,6,2,7,5,7,7,5,6,6,1,3,5,7,8,13,7,2,10,3,7,2,11,8,11,11,8,5,13,8,12,"Volatile, Media-friendly, Confrontational"
15,2002078784,Nigel Howard,- - -,24/10/2006 (15 years old),Ctr,Sacramento United,U.S.A. (Southwest Division),USA,"5'5""",55 kg,15,AM (R),0$,Promising winger,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,12,14,6,2,11,11,4,4,9,1,4,1,6,7,8,15,3,10,13,6,3,5,14,2,5,4,2,9,10,9,9,2,11,5,8,8,5,7,9,3,2,8,14,8,12,8,3,12,14,10,12,8,13,10,9,13,4,11,15,10,Media-friendly
16,2002078783,Josh Pratt,- - -,18/12/2005 (16 years old),Ctr,Sacramento United,U.S.A. (Southwest Division),USA,"6'1""",68 kg,16,AM (L),0$,Young winger,-,Left,Very Strong,Weak,0,-,-,-,-,,-,-,15,12,5,2,6,9,5,5,7,2,2,1,5,9,10,12,3,9,12,2,4,6,4,3,13,5,2,10,8,5,8,3,9,4,6,11,8,5,6,2,3,9,14,6,10,6,2,10,15,13,13,14,13,5,14,6,3,11,7,11,Level-headed
17,2002078782,Joe Green,- - -,13/4/2005 (17 years old),Ctr,Sacramento United,U.S.A. (Southwest Division),USA,"5'8""",66 kg,17,M (L),0$,Young winger,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,11,12,6,3,12,17,7,7,12,3,1,3,7,5,9,8,1,10,9,8,3,5,14,2,6,5,3,6,9,9,5,2,6,17,10,11,7,7,9,2,3,8,12,9,8,9,1,10,15,16,12,13,10,7,10,14,10,11,8,1,Media-friendly
18,2002078781,Matthew Lugo,- - -,11/11/2005 (16 years old),Ctr,Sacramento United,U.S.A. (Southwest Division),USA,"5'11""",71 kg,16,D (LC),0$,Young center back,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,11,14,8,3,8,11,10,8,10,2,3,2,11,3,10,10,1,8,6,7,5,4,11,2,10,8,1,5,5,10,3,1,8,17,10,10,7,9,9,1,1,20,15,10,9,11,1,12,13,6,13,17,9,6,17,11,9,13,16,6,Media-friendly
19,2002078780,Liam Crosno,- - -,26/1/2006 (16 years old),Ctr,Sacramento United,U.S.A. (Southwest Division),USA,"6'2""",75 kg,16,D (C),0$,Young center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,9,9,4,2,7,5,15,7,7,3,3,3,7,7,6,7,1,4,13,9,4,6,1,4,13,7,4,8,2,5,6,2,2,11,9,6,6,9,8,3,1,13,15,8,9,11,1,8,4,9,12,13,1,8,15,15,14,4,11,12,"Volatile, Media-friendly"
20,2002078779,Juan Carlos Galván,- - -,6/5/2006 (16 years old),Ctr,Sacramento United,U.S.A. (Southwest Division),MEX,"6'2""",75 kg,16,D (LC),0$,Young center back,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,5,14,4,3,7,10,16,6,9,1,3,2,8,7,9,8,1,7,8,10,4,6,5,2,15,7,1,3,4,8,5,3,6,16,11,7,4,8,9,2,1,8,15,10,9,17,2,9,17,16,12,17,14,9,17,8,4,7,13,4,Unflappable
21,2002078778,Carlos González,- - -,9/6/2006 (16 years old),Ctr,Sacramento United,U.S.A. (Southwest Division),MEX,"5'10""",65 kg,16,D (R),0$,Young full back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,8,10,6,3,7,10,12,7,7,1,4,3,11,3,11,9,3,6,11,10,5,5,6,2,10,5,3,5,5,8,3,1,5,9,13,8,3,9,8,2,1,13,10,11,7,8,2,11,7,12,8,3,9,2,4,13,8,9,7,17,Outspoken
22,2002078777,Dick,- - -,25/8/2006 (15 years old),Ctr,Sacramento United,U.S.A. (Southwest Division),USA,"5'5""",55 kg,15,D (L),0$,Promising full back,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,10,15,7,1,10,12,11,8,10,2,3,3,12,7,11,9,3,8,17,11,8,8,7,2,8,9,3,5,3,10,7,2,7,4,14,11,7,9,10,3,3,17,8,14,8,10,3,8,11,11,14,8,12,10,9,11,5,12,16,8,Level-headed
23,2002078776,Greg Castillo,- - -,16/11/2006 (15 years old),Ctr,Sacramento United,U.S.A. (Southwest Division),USA,"6'2""",69 kg,15,GK,0$,Young goalkeeper,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,8,3,6,4,5,8,2,3,2,10,15,9,5,1,3,5,8,3,11,3,3,3,6,8,11,1,11,5,1,2,2,1,2,11,5,1,2,6,3,5,6,8,3,6,13,15,8,7,13,11,9,11,10,6,12,6,8,11,7,10,Media-friendly
24,2002078775,Eric Rodríguez,- - -,10/6/2005 (17 years old),Ctr,Sacramento United,U.S.A. (Southwest Division),USA,"6'0""",73 kg,17,GK,0$,Young goalkeeper,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,7,7,7,8,6,10,2,6,6,11,13,11,9,2,7,8,10,1,11,3,2,2,1,10,12,1,11,7,2,3,2,4,2,10,6,1,4,7,5,8,12,11,12,10,15,8,8,11,12,13,9,7,6,8,5,11,18,9,9,8,Media-friendly
25,2002078774,Jay Brook,- - -,20/1/2006 (16 years old),Ama,Total Futbol,U.S.A. (Southwest Division),USA,"5'9""",63 kg,16,WB (L),0$,Attacking full back,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,11,11,6,2,12,10,9,4,9,2,3,4,5,3,6,10,1,5,7,5,4,3,6,3,10,5,1,3,5,7,2,3,7,17,7,8,4,6,7,3,2,7,12,6,10,11,3,7,14,11,17,12,12,8,9,11,12,13,5,9,Level-headed
26,2002078773,Ronald Agudelo,- - -,10/11/2006 (15 years old),Ama,Total Futbol,U.S.A. (Southwest Division),USA,"5'10""",61 kg,15,"DM, M (C)",0$,Young midfielder,-,Right Only,Weak,Very Strong,0,-,-,-,-,,-,-,5,6,12,2,10,11,6,5,5,1,3,1,7,5,12,6,3,7,15,6,5,7,7,2,9,4,1,10,2,11,4,2,4,9,14,5,6,7,4,3,4,9,9,5,5,10,1,10,9,10,11,4,10,2,2,12,8,6,8,14,Media-friendly
27,2002078772,Miguel Favela,- - -,31/12/2005 (16 years old),Ama,Total Futbol,U.S.A. (Southwest Division),USA,"6'0""",75 kg,16,ST (C),0$,Young striker,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,9,10,6,2,10,15,4,13,6,3,1,1,6,6,6,9,1,7,12,2,6,6,13,3,9,13,1,6,10,10,10,1,7,11,9,4,7,7,7,3,1,9,14,11,10,9,2,8,12,12,11,6,5,7,8,19,15,11,9,11,Media-friendly
28,2002078771,Quincy Pérez,- - -,13/4/2005 (17 years old),Ama,Total Futbol,U.S.A. (Southwest Division),USA,"5'9""",65 kg,17,ST (C),0$,Young striker,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,15,8,7,2,14,6,2,6,11,1,4,3,6,6,8,12,2,9,12,5,3,7,1,1,8,7,2,9,14,15,9,3,8,17,10,5,5,7,8,1,3,10,14,9,12,6,2,12,5,1,13,17,9,13,18,9,17,15,10,17,"Outspoken, Volatile, Confrontational"
29,2002078770,Martin Haywood,- - -,3/3/2005 (17 years old),Ama,Total Futbol,U.S.A. (Southwest Division),USA,"6'1""",81 kg,17,ST (C),0$,Young striker,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,10,12,7,2,12,17,5,13,8,4,3,3,8,7,8,10,2,7,6,5,5,5,7,2,9,11,1,5,11,12,12,3,7,11,8,7,5,7,7,1,1,11,10,11,10,14,1,10,3,4,10,14,11,10,15,6,8,16,11,15,"Outspoken, Volatile, Confrontational"
30,2002078769,Andrew Maher,- - -,29/6/2006 (15 years old),Ama,Total Futbol,U.S.A. (Southwest Division),USA,"5'8""",58 kg,15,ST (C),0$,Young striker,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,12,9,5,3,11,14,2,5,8,3,1,3,5,6,7,11,2,11,12,1,4,6,13,3,5,7,1,10,15,11,15,1,9,11,8,7,6,6,8,1,1,7,13,6,11,9,2,8,17,17,12,10,10,5,13,7,13,14,9,7,Media-friendly
31,2002078768,Zach Kidd,- - -,18/10/2006 (15 years old),Ama,Total Futbol,U.S.A. (Southwest Division),USA,"5'10""",64 kg,15,M/AM (C),0$,Young midfielder,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,7,14,8,3,14,12,6,7,9,3,2,3,7,7,12,9,1,8,13,7,4,7,15,3,9,3,2,11,12,9,8,3,9,5,7,6,10,6,6,1,3,8,6,9,12,9,3,10,14,14,11,8,13,6,7,11,3,9,9,9,Level-headed
32,2002078767,Marco Drost,- - -,27/3/2005 (17 years old),Ama,Total Futbol,U.S.A. (Southwest Division),USA,"5'10""",68 kg,17,AM (RC),0$,Young attacking midfielder,-,Right Only,Weak,Very Strong,0,-,-,-,-,,-,-,12,9,5,1,9,5,5,6,7,3,1,1,3,1,10,13,1,6,13,4,3,4,13,3,10,3,2,6,12,5,9,1,5,3,5,7,4,5,5,2,3,4,7,6,14,9,1,10,12,13,13,6,11,4,8,8,4,7,8,9,Level-headed
33,2002078766,Luke Bravo,- - -,15/2/2005 (17 years old),Ctr,Total Futbol,U.S.A. (Southwest Division),USA,"5'8""",65 kg,17,AM (RLC),0$,Young attacking midfielder,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,9,13,10,2,15,17,5,5,9,1,1,3,6,7,12,9,2,11,10,6,4,6,4,2,3,9,2,4,14,11,9,1,10,16,14,9,5,7,9,4,3,7,9,7,8,15,3,7,13,12,10,8,14,1,16,7,15,12,8,9,Level-headed
34,2002078765,Luis Rivera,- - -,21/6/2005 (17 years old),Ctr,Total Futbol,U.S.A. (Southwest Division),USA,"5'10""",70 kg,17,M (R),0$,Young winger,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,15,11,9,2,13,16,5,6,8,3,3,2,6,3,8,12,2,8,6,5,6,7,8,3,8,4,2,6,10,8,7,2,9,12,8,11,6,3,7,3,3,14,13,7,13,12,1,10,12,11,11,12,4,8,13,11,16,10,10,12,Media-friendly
35,2002078764,Peter Hamis,- - -,28/12/2005 (16 years old),Ctr,Total Futbol,U.S.A. (Southwest Division),USA,"6'0""",67 kg,16,AM (R),0$,Young winger,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,15,9,5,2,13,8,3,5,6,2,2,3,2,4,10,12,2,7,13,3,2,3,5,1,10,4,2,3,13,8,6,3,7,14,5,7,4,3,6,2,2,5,10,5,14,8,1,11,13,12,14,12,12,4,13,13,15,12,9,8,Level-headed
36,2002078763,Matteo Alfieri,- - -,16/5/2005 (17 years old),Ctr,Total Futbol,U.S.A. (Southwest Division),USA,"5'10""",66 kg,17,M (L),0$,Young winger,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,13,11,7,1,15,16,5,5,7,3,2,4,3,3,7,14,1,9,9,3,4,6,7,2,8,4,3,7,4,11,5,2,8,13,6,10,5,6,7,3,2,7,13,6,13,10,2,10,16,13,14,8,13,10,7,9,11,7,6,8,Level-headed
37,2002078762,Alan Padilla,- - -,19/6/2006 (16 years old),Ctr,Total Futbol,U.S.A. (Southwest Division),MEX,"5'2""",55 kg,16,M (RL),0$,Diminutive winger,-,Right,Weak,Very Strong,0,-,-,-,-,,-,-,14,11,7,1,8,13,3,3,7,2,3,3,4,5,8,13,1,8,9,1,5,5,7,1,2,3,3,2,8,10,5,1,9,3,8,10,7,6,7,2,3,3,12,8,13,13,1,12,13,13,5,11,10,3,14,14,9,5,5,14,Media-friendly
38,2002078761,Earl Holden,- - -,27/5/2005 (17 years old),Ctr,Total Futbol,U.S.A. (Southwest Division),USA,"6'0""",73 kg,17,D (RLC),0$,Young center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,8,8,7,2,8,11,11,9,8,3,3,1,11,10,6,9,3,3,13,11,5,3,13,3,9,8,1,2,3,9,3,3,5,4,8,8,5,7,7,2,2,12,15,9,9,11,1,9,17,15,13,15,13,7,14,8,2,5,6,11,Unflappable
39,2002078760,Keith Creel,- - -,25/11/2006 (15 years old),Ctr,Total Futbol,U.S.A. (Southwest Division),USA,"6'3""",72 kg,15,D (RC),0$,Promising center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,9,12,5,1,10,17,12,7,7,1,1,1,12,4,9,9,1,4,13,7,5,6,14,1,12,8,3,2,5,9,1,2,5,7,11,7,4,7,10,1,3,16,14,8,8,10,2,10,13,12,5,14,10,10,12,7,8,7,7,12,Media-friendly
40,2002078759,Patrick Davis,- - -,17/2/2005 (17 years old),Ctr,Total Futbol,U.S.A. (Southwest Division),USA,"6'1""",73 kg,17,D (LC),0$,Young center back,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,10,15,8,3,12,11,9,6,10,1,1,3,7,6,8,9,3,6,13,8,5,7,14,1,10,8,1,2,5,8,3,3,6,16,9,10,5,7,8,3,3,7,14,9,13,8,1,10,15,8,13,10,8,5,14,8,13,12,7,13,Media-friendly
41,2002078758,Daniel Morrell,- - -,21/1/2005 (17 years old),Ctr,Total Futbol,U.S.A. (Southwest Division),USA,"5'9""",69 kg,17,D (R),0$,Enthusiastic full back,-,Right,Weak,Very Strong,0,-,-,-,-,,-,-,12,15,6,2,8,17,12,8,10,1,2,3,11,6,10,9,3,8,7,9,4,6,3,2,8,7,2,4,7,10,4,3,6,13,14,12,8,10,10,2,3,12,6,9,9,16,1,18,17,11,15,8,14,7,6,7,13,13,14,9,Level-headed
42,2002078757,Pedro Hulsizer,- - -,4/5/2005 (17 years old),Ctr,Total Futbol,U.S.A. (Southwest Division),USA,"5'10""",67 kg,17,D (L),0$,Young full back,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,10,12,6,1,11,7,9,6,9,2,1,1,8,5,7,11,2,5,14,7,6,6,11,3,8,6,3,3,7,8,6,2,6,6,13,10,5,8,8,2,2,15,5,8,14,15,2,13,12,15,15,10,12,9,7,9,6,13,11,8,Level-headed
43,2002078756,Ronnie Keston,- - -,8/10/2005 (16 years old),Ctr,Total Futbol,U.S.A. (Southwest Division),USA,"5'11""",66 kg,16,GK,0$,Promising goalkeeper,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,11,10,11,7,5,9,1,6,5,8,14,8,9,2,6,10,10,1,13,3,2,1,6,14,9,1,12,7,2,4,2,12,3,4,12,3,2,9,4,9,11,14,6,8,9,15,7,8,12,11,6,12,14,12,13,14,10,16,8,12,Media-friendly
44,2002078755,Joe Aguiniga,- - -,26/4/2005 (17 years old),Ctr,Total Futbol,U.S.A. (Southwest Division),USA,"6'1""",75 kg,17,GK,0$,Young goalkeeper,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,7,3,2,4,5,6,3,6,3,10,10,17,11,1,5,5,8,2,12,2,2,3,14,7,11,1,10,7,3,2,2,2,1,11,12,1,3,6,3,8,13,7,8,7,15,15,10,10,15,13,16,9,13,9,6,9,15,12,10,7,Level-headed
45,2002078754,Michael Garbia,- - -,8/6/2006 (16 years old),Ama,Springfield SYC,U.S.A. (Mid-Atlantic Division),USA,"6'1""",75 kg,16,D (C),0$,Young center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,11,16,5,1,12,14,11,10,11,1,1,3,9,6,8,8,2,7,12,7,4,5,3,3,15,8,3,5,3,8,5,3,5,14,8,7,6,8,10,1,3,20,9,8,8,16,2,11,4,10,12,12,15,16,9,15,4,10,14,6,"Volatile, Media-friendly"
46,2002078753,Ryan Harvey,- - -,18/5/2005 (17 years old),Ama,Springfield SYC,U.S.A. (Mid-Atlantic Division),USA,"5'5""",60 kg,17,DM,0$,Young midfielder,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,10,11,6,1,11,11,7,5,8,1,2,3,12,5,11,11,3,6,8,7,6,6,13,1,4,6,2,9,3,10,8,2,7,13,11,6,7,9,6,3,3,10,6,12,13,8,3,6,13,16,11,16,20,8,18,13,5,12,14,4,Level-headed
47,2002078752,Matt Parker,- - -,5/1/2005 (17 years old),Ama,Springfield SYC,U.S.A. (Mid-Atlantic Division),USA,"6'2""",76 kg,17,D (C),0$,Young center back,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,10,16,5,3,11,14,12,8,11,1,1,1,10,4,8,9,2,4,14,8,3,7,8,2,15,8,3,3,7,6,4,2,6,13,9,5,6,9,9,2,2,18,14,9,10,9,3,7,16,14,12,13,14,8,15,7,4,7,10,2,Level-headed
48,2002078751,Casey Hughes,- - -,26/5/2006 (16 years old),Ama,Springfield SYC,U.S.A. (Mid-Atlantic Division),USA,"6'1""",71 kg,16,ST (C),0$,Promising striker,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,13,14,7,2,14,9,1,8,9,1,2,2,5,2,7,11,2,11,17,4,3,4,7,1,8,8,2,5,14,12,14,1,11,11,8,4,5,5,7,2,3,7,11,9,11,15,3,11,16,14,14,10,16,10,12,9,13,12,10,6,Level-headed
49,2002078750,Kelvin Butterworth,- - -,28/10/2006 (15 years old),Ama,Springfield SYC,U.S.A. (Mid-Atlantic Division),USA,"6'1""",67 kg,15,ST (C),0$,Promising striker,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,11,14,7,1,9,9,3,7,13,2,2,1,4,7,10,13,1,11,12,4,8,7,4,1,11,6,3,6,9,8,13,1,13,11,12,7,4,7,10,3,1,5,14,8,14,6,3,11,12,10,10,13,3,3,9,8,15,18,6,10,Media-friendly
50,2002078749,Sam Weber,- - -,14/10/2005 (16 years old),Ama,Springfield SYC,U.S.A. (Mid-Atlantic Division),USA,"5'9""",63 kg,16,ST (C),0$,Young striker,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,12,14,7,2,7,18,4,4,10,1,3,2,5,5,7,11,3,10,8,5,2,6,9,3,8,5,1,8,8,8,15,2,11,4,7,4,5,5,9,1,3,5,9,9,12,7,2,8,15,15,7,10,14,8,12,3,5,14,9,8,Level-headed
51,2002078748,Tahmoras Popalzay,- - -,18/12/2006 (15 years old),Ama,Springfield SYC,U.S.A. (Mid-Atlantic Division),AFG,"5'9""",58 kg,15,M/AM (C),0$,Promising attacking midfielder,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,14,9,10,2,14,14,4,3,7,3,2,2,6,3,13,9,1,8,15,5,4,5,13,3,5,7,3,6,14,13,6,1,9,12,6,6,4,6,7,1,3,8,5,7,11,9,2,11,11,12,12,9,2,5,8,14,14,10,11,7,Media-friendly
